A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,69
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,70
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,71
No,No,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,72
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,73
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,74
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,75
No,No,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,76
No,Yes,No,Yes,Yes,Yes,F,gpt-4o-mini,underreporting,77
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,78
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,79
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,80
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,81
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,82
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,83
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,84
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,85
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,86
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,87
No,No,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,88
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,89
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,90
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,91
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,92
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,93
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,94
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,95
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,96
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,97
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,98
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,99
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,100
