A,B,C,D,E,F,most important category,model,survey,id
Yes,No,No,No,No,Yes,A,gemma2:2b,overreporting,41
No,Yes,Yes,No,Yes,No,C,gemma2:2b,overreporting,42
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,43
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,44
No,Yes,No,No,Yes,No,B,gemma2:2b,overreporting,45
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,46
No,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,47
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,48
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,49
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,50
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,51
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,52
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,53
No,Yes,Yes,No,No,No,C,gemma2:2b,overreporting,54
No,Yes,No,No,Yes,Yes,F,gemma2:2b,overreporting,55
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,56
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,57
False,True,False,False,True,False,B,gemma2:2b,overreporting,58
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,59
No,Yes,No,No,No,No,B,gemma2:2b,overreporting,60
Yes,No,Yes,No,No,Yes,A,gemma2:2b,overreporting,61
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,62
Yes,Yes,No,No,Yes,No,A,gemma2:2b,overreporting,63
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,64
No,No,Yes,No,Yes,Yes,C,gemma2:2b,overreporting,65
No,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,66
Yes,Yes,No,No,Yes,No,E,gemma2:2b,overreporting,67
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,68
No,Yes,Yes,No,No,Yes,B,gemma2:2b,overreporting,69
No,Yes,No,No,Yes,No,B,gemma2:2b,overreporting,70
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,71
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,72
No,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,73
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,74
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,75
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,76
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,77
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,78
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,79
Yes,No,Yes,No,No,No,C,gemma2:2b,overreporting,80
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,81
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,82
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,83
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,84
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,85
Yes,Yes,Yes,No,Yes,No,A,gemma2:2b,overreporting,86
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,87
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,88
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,89
Yes,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,90
No,Yes,Yes,No,No,No,C,gemma2:2b,overreporting,91
No,Yes,Yes,No,Yes,No,C,gemma2:2b,overreporting,92
No,Yes,No,No,No,No,B,gemma2:2b,overreporting,93
No,Yes,Yes,No,No,No,C,gemma2:2b,overreporting,94
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,95
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,96
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,97
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,98
Yes,Yes,No,No,Yes,No,A,gemma2:2b,overreporting,99
Yes,Yes,No,No,No,No,B,gemma2:2b,overreporting,100
