A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,31
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,32
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,33
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,34
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,35
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,36
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,37
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,38
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,39
No,No,Yes,No,No,No,C,gemini-1.5-flash-8b,overreporting,40
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,41
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,42
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,43
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,44
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,45
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,46
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,47
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,48
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,49
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,50
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,51
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,52
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,53
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,54
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,55
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,56
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,57
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,58
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,59
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,60
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,61
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,62
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,63
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,64
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,65
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,66
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-8b,overreporting,67
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,68
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,69
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,70
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,71
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,72
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,73
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,74
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,75
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,76
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,77
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,78
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,79
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,80
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,81
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,82
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,83
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,84
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,85
Yes,No,Yes,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,86
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,87
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,88
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,89
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,90
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,91
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,92
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,overreporting,93
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-8b,overreporting,94
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,95
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,96
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,97
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,98
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,99
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,100
