A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,60
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,61
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,62
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,63
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,64
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,65
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,66
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,67
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,68
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,69
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,70
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,71
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,72
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,73
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,74
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,75
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,76
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,77
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,78
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,79
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,80
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,81
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,82
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,83
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,84
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-002,overreporting,85
No,Yes,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,86
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,87
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,88
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,89
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,90
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,91
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,92
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,93
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,94
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,95
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,96
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,97
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,98
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,99
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,100
