A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,Yes,Yes,F,gemma2:2b,overreporting,37
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,38
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,39
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,40
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,41
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,42
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,43
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,44
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,45
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,46
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,47
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,48
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,49
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,50
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,51
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,52
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,53
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,54
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,55
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,56
No,No,Yes,Yes,Yes,Yes,F,gemma2:2b,overreporting,57
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,58
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,59
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,60
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,61
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,62
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,63
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,64
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,65
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,66
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,67
No,Yes,Yes,Yes,No,Yes,F,gemma2:2b,overreporting,68
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,69
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,70
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,71
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,72
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,73
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,74
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,75
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,76
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,77
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,78
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,79
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,80
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,81
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,82
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,83
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,84
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,85
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,86
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,87
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,88
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,89
No,No,No,No,No,Yes,F,gemma2:2b,overreporting,90
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,91
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,92
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,93
No,No,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,94
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,95
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,96
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,97
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,98
No,Yes,No,No,No,Yes,F,gemma2:2b,overreporting,99
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,100
