A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,41
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,42
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,43
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,44
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,45
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,46
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,47
No,Yes,Yes,No,No,No,C,gpt-4o,overreporting,48
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,49
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,50
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,51
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,52
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,53
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,54
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,55
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,56
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,57
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,58
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,59
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,60
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,61
No,Yes,Yes,Yes,No,Yes,F,gpt-4o,overreporting,62
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,63
No,Yes,No,No,No,Yes,F,gpt-4o,overreporting,64
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,65
No,No,Yes,No,Yes,Yes,F,gpt-4o,overreporting,66
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,67
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,68
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,69
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,70
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,71
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,72
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,73
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,74
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,75
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,76
No,Yes,Yes,No,No,No,C,gpt-4o,overreporting,77
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,78
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,79
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,80
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,81
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,82
No,Yes,Yes,No,Yes,No,C,gpt-4o,overreporting,83
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,84
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,85
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,86
No,Yes,Yes,No,No,Yes,B,gpt-4o,overreporting,87
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,88
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,89
No,Yes,Yes,No,Yes,Yes,C,gpt-4o,overreporting,90
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,91
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,92
No,Yes,Yes,No,No,No,C,gpt-4o,overreporting,93
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,94
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,95
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,96
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,97
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,98
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,99
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,100
