A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,36
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,37
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,38
Yes,Yes,No,No,Yes,No,Yes,gpt-4o-mini,overreporting,39
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,40
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,41
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,42
No,No,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,43
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,44
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,45
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,overreporting,46
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,47
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,48
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,49
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,50
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,51
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,52
No,Yes,Yes,Yes,No,Yes,Yes,gpt-4o-mini,overreporting,53
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,54
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,overreporting,55
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,overreporting,56
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,57
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,58
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,overreporting,59
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,60
No,Yes,No,No,No,No,Yes,gpt-4o-mini,overreporting,61
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,62
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,63
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,64
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,65
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,66
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,67
No,No,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,68
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,69
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,70
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,71
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,72
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,73
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,74
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,75
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o-mini,overreporting,76
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,77
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,78
No,Yes,No,No,Yes,Yes,No,gpt-4o-mini,overreporting,79
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,80
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,81
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,82
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,83
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,84
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,overreporting,85
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,86
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,87
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,88
No,Yes,Yes,Yes,No,No,Yes,gpt-4o-mini,overreporting,89
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,90
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,overreporting,91
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,overreporting,92
No,Yes,Yes,Yes,No,Yes,Yes,gpt-4o-mini,overreporting,93
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,overreporting,94
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,95
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,96
Yes,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,97
No,No,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,98
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,overreporting,99
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,100
