A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,59
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,60
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,61
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,overreporting,62
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,63
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,64
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,overreporting,65
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,66
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,67
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,68
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,69
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,70
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,71
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,72
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,73
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,74
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,75
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,76
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,77
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,78
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,79
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,80
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,81
Yes,No,No,No,Yes,Yes,No,gemini-1.5-flash-8b,overreporting,82
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,83
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,overreporting,84
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,85
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,overreporting,86
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,87
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,88
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,89
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,90
No,No,Yes,No,No,Yes,No,gemini-1.5-flash-8b,overreporting,91
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,92
No,No,No,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,93
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,94
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,95
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,96
Yes,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,overreporting,97
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,98
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,99
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,100
