A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,45
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,46
No,No,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,47
No,Yes,Yes,No,No,No,Yes,gemma2:9b,overreporting,48
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,49
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,50
No,Yes,Yes,No,No,No,Yes,gemma2:9b,overreporting,51
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,52
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,53
Yes,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,54
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,55
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,56
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,57
Yes,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,58
No,Yes,Yes,No,No,No,Yes,gemma2:9b,overreporting,59
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,60
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,61
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,62
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,63
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,64
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,65
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,66
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,67
No,Yes,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,68
No,No,Yes,Yes,Yes,Yes,No,gemma2:9b,overreporting,69
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,70
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,71
No,No,Yes,No,No,No,Yes,gemma2:9b,overreporting,72
No,No,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,73
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,74
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,75
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,76
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,77
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,78
No,No,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,79
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,80
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,81
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,82
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,83
No,No,Yes,No,No,No,Yes,gemma2:9b,overreporting,84
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,85
No,No,Yes,No,No,No,Yes,gemma2:9b,overreporting,86
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,87
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,88
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,89
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,90
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,91
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,92
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,93
No,No,Yes,No,No,Yes,No,gemma2:9b,overreporting,94
No,Yes,Yes,No,No,No,Yes,gemma2:9b,overreporting,95
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,96
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,97
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,98
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,99
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,100
